Date;Players;Cash;P-R1;W-R1;P-R2;W-R2;P-R3;W-R3;P-R4;W-R4;P-R5;W-R5;P-R6;W-R6;P-R7;W-R7;P-R8;W-R8;P-R9;W-R9;P-R10;W-R10;P-R11;W-R11;P-R12;W-R12;P-R13;W-R13
01-05-2018;387248;2744477,5000;0;0,0000;0;353322,1000;0;41146,3000;2;3096,2000;35;195,1000;92;95,4000;74;66,7000;1294;15,9000;1544;14,5000;3095;13,1000;6926;8,4000;22873;7,8000;48300;4,4000
27-04-2018;659070;5049642,5000;0;0,0000;0;359513,2000;0;41867,3000;1;5342,2000;33;234,4000;76;168,1000;112;77,0000;1282;27,8000;2239;18,3000;5415;14,5000;7007;14,6000;34073;9,5000;82847;4,8000
24-04-2018;638250;5366717,5000;0;138724202,0000;0;319079,5000;3;24772,4000;4;2550,9000;84;158,5000;227;69,1000;197;59,0000;3418;11,8000;3350;13,0000;7351;12,0000;18668;6,3000;47943;7,2000;100094;4,4000
20-04-2018;995427;8914570,0000;0;0,0000;0;653161,7000;2;25354,8000;5;3600,5000;113;160,6000;316;108,8000;267;56,6000;3487;20,0000;4731;14,8000;11144;12,5000;18659;10,5000;68698;8,1000;157925;4,5000
17-04-2018;429696;3038042,5000;0;0,0000;0;797614,7000;0;61924,5000;3;2672,5000;36;173,3000;118;94,0000;70;56,1000;1455;17,4000;1648;15,5000;3661;12,7000;7504;9,0000;24283;8,4000;52886;4,5000
13-04-2018;789592;5959945,0000;0;0,0000;2;170553,8000;0;39723,9000;2;3985,6000;63;177,5000;112;121,8000;124;74,3000;2176;20,7000;2957;15,5000;6352;14,2000;12386;10,3000;46314;8,0000;97412;4,9000
10-04-2018;410227;2887097,5000;1;17000000,0000;0;371546,9000;0;24725,0000;1;6046,8000;38;212,9000;55;175,7000;142;54,1000;797;29,5000;1308;19,3000;3940;12,5000;3810;16,4000;17113;11,1000;51983;4,5000
06-04-2018;697898;5564230,0000;0;76119641,0000;0;614190,8000;1;40872,0000;2;3998,3000;41;210,8000;178;112,7000;109;80,7000;2262;19,0000;2481;17,4000;5554;14,8000;13593;9,1000;39614;8,9000;86981;4,9000
03-04-2018;452387;3387475,0000;0;0,0000;2;164985,3000;0;64044,9000;4;2237,5000;44;153,2000;120;73,0000;69;67,5000;2014;12,8000;2178;13,0000;4061;13,4000;10121;6,8000;29474;7,4000;58687;4,7000
30-03-2018;680204;5353382,5000;0;0,0000;1;282848,6000;0;23955,8000;5;2343,5000;86;158,0000;140;108,0000;180;56,6000;2053;19,6000;3106;13,4000;6961;11,9000;10960;10,9000;44497;7,6000;100959;4,3000
27-03-2018;445621;3234105,0000;0;0,0000;0;0,0000;1;142841,9000;3;7107,1000;31;185,5000;70;143,8000;68;67,2000;957;25,4000;1556;15,8000;3671;12,8000;5348;13,7000;25317;8,3000;56313;4,3000
23-03-2018;654077;5036045,0000;0;0,0000;0;274834,0000;0;256047,9000;0;4816,9000;63;170,8000;102;121,3000;158;57,9000;1526;22,2000;3044;13,8000;7299;10,9000;8442;12,1000;39798;7,9000;98018;4,0000
20-03-2018;434271;3108572,5000;0;0,0000;0;385608,5000;0;89812,6000;0;4183,8000;38;198,5000;76;120,1000;90;66,5000;1106;23,8000;1923;15,8000;4225;13,1000;5603;12,7000;24611;8,9000;54881;4,7000
16-03-2018;645940;4934262,5000;0;0,0000;0;357906,8000;0;31260,2000;3;3397,8000;66;150,3000;107;138,1000;224;34,3000;1498;25,2000;2721;14,6000;8984;8,5000;7596;13,9000;36246;8,9000;113460;3,5000
13-03-2018;501390;3735037,5000;0;61521581,0000;0;304873,8000;0;35504,3000;4;3256,1000;43;135,3000;72;132,8000;156;34,6000;1300;24,8000;2175;13,8000;5922;8,8000;6121;13,9000;29321;8,2000;82119;3,5000
09-03-2018;712953;5551770,0000;0;0,0000;1;596941,0000;0;13241,3000;2;3487,4000;82;171,0000;120;140,2000;229;41,9000;1754;26,2000;2714;17,2000;8829;10,0000;8727;14,1000;37320;9,7000;117168;3,8000
06-03-2018;486619;3513897,5000;0;0,0000;0;212510,8000;0;28283,5000;5;2483,0000;42;168,5000;123;92,7000;87;62,5000;1902;15,6000;1895;14,4000;3795;13,0000;10779;8,1000;28794;7,7000;56416;4,6000
02-03-2018;673336;5188692,5000;0;0,0000;0;556145,8000;1;25906,5000;0;6034,1000;52;234,2000;85;166,2000;109;71,3000;1451;27,7000;2093;20,3000;6054;13,3000;8143;14,2000;32253;10,5000;95650;4,3000
27-02-2018;478345;3463832,5000;0;0,0000;0;0,0000;0;498733,9000;2;4388,9000;22;254,0000;61;149,6000;71;91,0000;1021;26,0000;1522;19,2000;3477;16,0000;5584;13,0000;23445;9,6000;54150;5,1000
23-02-2018;1469789;13238532,5000;0;88862248,0000;1;485787,2000;0;35357,9000;8;1608,8000;170;148,0000;682;59,7000;392;60,0000;9491;10,8000;8401;12,5000;17795;12,0000;45557;6,2000;121407;6,9000;250709;4,3000
20-02-2018;821368;7136930,0000;0;0,0000;1;257544,0000;1;17138,5000;4;2934,0000;119;129,3000;205;103,1000;222;46,0000;2854;18,9000;4237;12,6000;9917;10,3000;14934;10,4000;59938;7,4000;138325;4,0000
16-02-2018;959072;8381370,0000;0;0,0000;0;355136,6000;2;24328,0000;3;3019,2000;165;153,1000;248;115,0000;320;51,7000;3538;20,9000;5293;13,8000;12888;10,5000;16442;11,8000;72214;7,9000;172389;3,9000
13-02-2018;682222;5798150,0000;0;0,0000;1;333912,5000;0;34565,3000;3;3622,9000;67;143,6000;130;104,8000;213;40,8000;2125;21,5000;3541;12,6000;9540;8,9000;10304;12,4000;48096;7,8000;125837;3,6000
09-02-2018;906514;7813655,0000;0;0,0000;0;1711394,6000;0;49825,4000;4;3749,4000;61;224,8000;161;133,2000;174;72,8000;2561;23,9000;3568;18,2000;9180;13,4000;14093;12,2000;54678;9,6000;139834;4,6000
06-02-2018;668819;5595170,0000;0;0,0000;1;259091,0000;1;21551,8000;4;3988,7000;80;147,5000;147;127,8000;288;42,1000;1930;24,3000;3454;14,5000;9605;10,0000;9860;13,3000;43700;8,8000;119387;4,0000
02-02-2018;822016;6963465,0000;0;0,0000;0;511561,7000;1;39716,1000;2;4264,3000;70;193,2000;148;143,1000;156;75,5000;2215;24,2000;3614;16,0000;7336;14,7000;12532;11,9000;54077;8,6000;107745;5,2000
30-01-2018;572630;4616537,5000;0;0,0000;3;211446,1000;2;30780,1000;2;1942,6000;71;117,8000;106;90,8000;129;51,5000;1839;17,5000;3013;10,8000;5658;11,1000;9286;10,1000;41986;6,5000;82527;4,2000
